gender,year,month,day,school,height,pheight,mheight,math,class,games,exercise,TV,weather,hand,computer,vote,GPA_HS,sit,drink,caffeine,sleep,games_hours,friends,morning,commute,distance,GPA_UW,Exam1,gamble1,sport,color,temperature,siblings,birth_order,gamble,prob1,superpower,introvert,pref_age,commute2,age
Female,1986,May,5,In Washington State,67,73,64,Not at all,Not at all,Just a little,A fair amount,A fair amount,Just a little,Right,Apple,Democrat,3.22,Near the front,11,1,6,0,100,Neither,none of the above,2.8,3.6,60,No,None of the above,Red,77,3,3,No,1/2,Invisibility,agree,27,drive,31.75
Male,1993,January,6,In the US but outside of Washington State,75,74,68,Just a little,Just a little,Just a little,A fair amount,A fair amount,Just a little,Right,Apple,Democrat,3.2,In the middle,4,2,6.5,0,1565,An evening person,bus,1,3.3,95,No,Soccer,Blue,75,5,4,No,1/2,Flight,neutral,25,walk,25.0833
Female,1995,November,9,In the US but outside of Washington State,67,69,63,Just a little,Just a little,Just a little,Just a little,A fair amount,A fair amount,Right,PC,I never (or can't) vote,4.3,In the middle,2,0,7,1,95,An evening person,bus,3,3.86,95,Yes,None of the above,Purple,80,1,1,Yes,1/2,Flight,strongly agree,17,drive,22.25
Male,1996,August,13,In Washington State,72,71,66,,A fair amount,Very much,Just a little,Just a little,Very much,Right,PC,Democrat,3.34,In the middle,1,1,7,3,300,An evening person,walk,0.5,3.54,80,Yes,American Football,Blue,81,1,1,Yes,1/32,Invisibility,disagree,30,walk,21.5
Female,1997,April,4,In Washington State,64,64,59,Just a little,Not at all,Not at all,Just a little,A fair amount,A fair amount,Right,Apple,I never (or can't) vote,3.88,Near the front,0,0,7,0,3000,An evening person,drive,15,3.5,85,Yes,None of the above,Blue,70,1,2,Yes,1/2,Flight,agree,18,drive,20.8333
Female,1983,April,14,In the US but outside of Washington State,65,70,64,A fair amount,Just a little,Not at all,A fair amount,Just a little,Very much,Right,Apple,Other,3,Near the front,4,1,7,0,0,Neither,none of the above,4,2.7,80,Yes,Baseball,Blue,78,4,1,Yes,1/8,Flight,neutral,25,drive,34.8333
Female,1997,December,11,In Washington State,67,70,66,Just a little,A fair amount,Just a little,Not at all,Not at all,A fair amount,Right,Apple,I never (or can't) vote,3.9,Toward the back,0,1,6,2,0,An evening person,walk,0.5,3.35,80,No,None of the above,Blue,73,3,1,No,1/32,Flight,neutral,14,dorm,20.1667
Male,1989,June,2,In the US but outside of Washington State,67,65,63,A fair amount,A fair amount,Very much,Very much,Just a little,A fair amount,Right,PC,Democrat,3.4,Near the front,0.5,2,8,2,0,Neither,none of the above,2.7,3.8,95,Yes,None of the above,Blue,76,1,2,Yes,1/2,Flight,neutral,28,drive,28.6667
Female,1997,December,23,In Washington State,63,67,72,Just a little,A fair amount,Very much,Just a little,Just a little,Very much,Right,Apple,Independent,3.8,In the middle,0,,8,2,589,An evening person,walk,0,3.63,90,Yes,None of the above,Purple,75,2,3,Yes,1/2,Flight,disagree,6,dorm,20.1667
Female,1988,December,26,In Washington State,64,70,66,Just a little,Just a little,Just a little,Just a little,Just a little,Just a little,Left,Apple,Democrat,3.1,In the middle,0,1,7,0,207,An evening person,walk,0.5,3,75,No,American Football,Purple,78,1,2,No,1/2,Invisibility,agree,29,dorm,29.1667
Female,1996,September,14,In Washington State,65,76,70,A fair amount,A fair amount,A fair amount,A fair amount,Very much,Just a little,Right,Apple,Democrat,3.93,Near the front,4,1,7,0,902,An evening person,walk,1,3.33,90,Yes,American Football,Yellow,80,1,2,Yes,1/2,Invisibility,agree,28,frat,21.4167
